train/reward,time/iterations,time/fps,time/time_elapsed,time/total_timesteps,train/entropy_loss,train/n_updates,train/std,train/clip_fraction,train/clip_range,train/learning_rate,train/explained_variance,train/approx_kl,train/policy_gradient_loss,train/value_loss,train/loss,rollout/ep_len_mean,rollout/ep_rew_mean
,1,31,1,50,,,,,,,,,,,,,
,2,32,3,100,-42.57406234741211,10,1.0004019737243652,0.15400000028312205,0.2,0.00025,0.24400782585144043,0.023731718,-0.05876551588624714,0.0006039575033355504,-0.09709819406270981,,
,3,31,4,150,-42.58251953125,20,1.0005346536636353,0.08800000064074993,0.2,0.00025,-0.3355989456176758,0.017743284,-0.035663540208712166,0.000893723132321611,-0.07458776235580444,,
,4,31,6,200,-42.581647109985354,30,1.000303864479065,0.11799999997019768,0.2,0.00025,0.36012881994247437,0.019914133,-0.029118117389269216,0.0003597306887968443,-0.062054961919784546,,
,5,31,7,250,-42.569266891479494,40,0.9996505975723267,0.09199999906122684,0.2,0.00025,-2.489330530166626,0.020644475,-0.031587021243758784,0.0006771155545720831,-0.0647863894701004,,
,6,31,9,300,-42.549346923828125,50,0.9991188645362854,0.18599999994039534,0.2,0.00025,-0.05908215045928955,0.035788294,-0.04324517907760992,0.00048495836672373115,-0.08132046461105347,,
,7,30,11,350,-42.535421752929686,60,0.9986956715583801,0.11600000113248825,0.2,0.00025,0.5480761826038361,0.019276157,-0.03699050866626123,0.0014865524193737657,-0.07878317683935165,,
,8,30,12,400,-42.528620910644534,70,0.9988289475440979,0.08599999956786633,0.2,0.00025,0.219903826713562,0.019716067,-0.031180025710258973,0.0008680463244672865,-0.06522344797849655,,
,9,30,14,450,-42.536007690429685,80,0.999076783657074,0.07999999970197677,0.2,0.00025,-0.9008090496063232,0.015471242,-0.027873671988956517,0.0004259055262082256,-0.05991596356034279,,
,10,30,16,500,-42.542042922973636,90,0.9992257952690125,0.2359999965876341,0.2,0.00025,0.37619298696517944,0.036236368,-0.048762744426727525,0.000597702017694246,-0.07384885102510452,,
,11,30,18,550,-42.5441951751709,100,0.9992198944091797,0.20000000037252902,0.2,0.00025,0.45427846908569336,0.036536172,-0.056422635806724485,0.0010651672724634408,-0.10713113844394684,,
,12,30,19,600,-42.54278411865234,110,0.9990968108177185,0.1419999986886978,0.2,0.00025,0.23194479942321777,0.027017761,-0.026564399387687843,0.0010192795714829117,-0.046503640711307526,,
,13,30,21,650,-42.538629150390626,120,0.9990271329879761,0.1299999997019768,0.2,0.00025,-0.37363970279693604,0.025171885,-0.035691516373306344,0.0035791130037978293,-0.06886367499828339,,
,14,30,23,700,-42.53812255859375,130,0.9989691376686096,0.09999999962747097,0.2,0.00025,-0.0017163753509521484,0.022896633,-0.03353905920899649,0.00153427564073354,-0.07517928630113602,,
,15,30,24,750,-42.53425636291504,140,0.998882532119751,0.17799999788403512,0.2,0.00025,0.004216492176055908,0.030823842,-0.04376134440116601,0.0011010962654836476,-0.07984283566474915,,
,16,30,26,800,-42.53380241394043,150,0.998799741268158,0.11400000229477883,0.2,0.00025,-0.17663037776947021,0.022616053,-0.04826780795305972,0.0003388885081221815,-0.0942813977599144,,
,17,30,28,850,-42.524321746826175,160,0.9982401728630066,0.14199999943375588,0.2,0.00025,0.9012540727853775,0.027888263,-0.0404636521264905,0.000695588206872344,-0.08494310081005096,,
,18,30,29,900,-42.50812034606933,170,0.9978399872779846,0.12799999937415124,0.2,0.00025,-0.5054442882537842,0.022645175,-0.036959775663912266,0.0005615138667053543,-0.07257787138223648,,
,19,30,31,950,-42.49909019470215,180,0.9976699352264404,0.1700000014156103,0.2,0.00025,0.23655807971954346,0.023702553,-0.03466244076564919,0.0004921579151414335,-0.06726669520139694,,
,20,30,33,1000,-42.50124588012695,190,0.9981018900871277,0.13400000147521496,0.2,0.00025,-0.7548322677612305,0.023278117,-0.03492488275561527,0.0008680057217134163,-0.07229019701480865,,
,21,29,35,1050,-42.516104507446286,200,0.9984983801841736,0.161999998614192,0.2,0.00025,0.05563455820083618,0.037391573,-0.05336436188220972,0.0003482274274574593,-0.10831447690725327,,
,22,29,36,1100,-42.52313499450683,210,0.998550295829773,0.18599999882280827,0.2,0.00025,0.6811491250991821,0.033167265,-0.0437917997809123,0.001045973613508977,-0.08707772940397263,,
,23,30,38,1150,-42.523629379272464,220,0.9986204504966736,0.13599999956786632,0.2,0.00025,0.19356179237365723,0.027563157,-0.036365401510148845,0.000320752031984739,-0.07185011357069016,,
,24,30,39,1200,-42.5277816772461,230,0.9987964034080505,0.07599999904632568,0.2,0.00025,0.15085160732269287,0.01852891,-0.021744900583288995,0.00023317480372497812,-0.06536988168954849,,
,25,30,41,1250,-42.5293025970459,240,0.9985743165016174,0.15999999791383743,0.2,0.00025,-2.070284843444824,0.034699947,-0.03957480174303072,0.0003119646746199578,-0.07275547087192535,,
,26,30,43,1300,-42.52251930236817,250,0.9986043572425842,0.08599999994039535,0.2,0.00025,0.2453497052192688,0.020757627,-0.02497344775221677,0.0003056667075725272,-0.05644560232758522,,
,27,29,45,1350,-42.52566146850586,260,0.9986074566841125,0.14000000134110452,0.2,0.00025,0.17015820741653442,0.025953956,-0.04086877717822759,0.00012852217878389638,-0.0733979120850563,,
,28,29,47,1400,-42.52361488342285,270,0.9985615015029907,0.11000000163912774,0.2,0.00025,0.3158949613571167,0.027834523,-0.0423039408661424,0.00042870650941040367,-0.08452539145946503,,
,29,29,49,1450,-42.52335090637207,280,0.9985697865486145,0.051999999582767485,0.2,0.00025,0.685128390789032,0.011378075,-0.01647820924222465,0.00017416104528820143,-0.04257102310657501,,
