date,dji
2021-04-06,1000000.0
2021-04-07,1000479.3097005528
2021-04-08,1002193.5838635985
2021-04-09,1011078.6910381588
2021-04-12,1009427.3978425923
2021-04-13,1007389.4552566964
2021-04-14,1008993.4250907995
2021-04-15,1018119.8229849215
2021-04-16,1023046.0096415799
2021-04-19,1019365.4205977676
2021-04-20,1011697.8675625934
2021-04-21,1021150.6213791055
2021-04-22,1011536.2670467804
2021-04-23,1018344.1707726013
2021-04-26,1016492.0161983777
2021-04-27,1016592.5053116091
2021-04-28,1011670.2914803576
2021-04-29,1018848.8364470742
2021-04-30,1013299.7341361869
2021-05-03,1020430.3715024092
2021-05-04,1021022.6730314447
2021-05-05,1023933.4687287811
2021-05-06,1033451.540468894
2021-05-07,1040308.5202732696
2021-05-10,1039263.3166478563
2021-05-11,1025094.7022256352
2021-05-12,1004708.9665851496
2021-05-13,1017684.9154506802
2021-05-14,1028473.9407775592
2021-05-17,1026848.4709471369
2021-05-18,1018857.8337281427
2021-05-19,1013933.5166363816
2021-05-20,1019560.4395861204
2021-05-21,1023260.4253657424
2021-05-24,1028828.4570212151
2021-05-25,1026389.9601560667
2021-05-26,1026706.7345583581
2021-05-27,1030942.116985453
2021-05-28,1032880.7389361778
2021-06-01,1034252.5321795937
2021-06-02,1035002.4613990352
2021-06-03,1034304.2957576885
2021-06-04,1039669.2459261889
2021-06-07,1035895.6460287345
2021-06-08,1034985.7521627652
2021-06-09,1030418.6388142005
2021-06-10,1030989.9077381408
2021-06-11,1031389.6440827512
2021-06-14,1028821.5630006563
2021-06-15,1025997.117832015
2021-06-16,1018050.5322359144
2021-06-17,1011762.133855939
2021-06-18,995807.3838699316
2021-06-21,1013363.0656470838
2021-06-22,1015415.3805131279
2021-06-23,1013281.3890306319
2021-06-24,1022930.7977047819
2021-06-25,1030020.7720344873
2021-06-28,1025516.7565012076
2021-06-29,1025786.5580854532
2021-06-30,1032074.9564654286
2021-07-01,1035994.1487292625
2021-07-02,1040565.4685988463
2021-07-06,1034314.2278212056
2021-07-07,1037437.6865256134
2021-07-08,1029664.5030737399
2021-07-09,1043072.4382783598
2021-07-12,1046842.0653504074
2021-07-13,1043629.6854655702
2021-07-14,1044959.0629553777
2021-07-15,1046568.0572451423
2021-07-16,1037619.0343206543
2021-07-19,1015907.777167962
2021-07-20,1032358.4292429864
2021-07-21,1040913.9087565861
2021-07-22,1041672.2510180658
2021-07-23,1048797.5133852083
2021-07-26,1051273.0510048852
2021-07-27,1048706.8394876877
2021-07-28,1044890.2395975947
2021-07-29,1049484.9290283953
2021-07-30,1045026.0167482635
2021-08-02,1042115.2210509268
2021-08-03,1050438.1734304214
2021-08-04,1040754.5283490889
2021-08-05,1048878.2552192118
2021-08-06,1053193.5615456672
2021-08-09,1050003.032200568
2021-08-10,1054873.4824537244
2021-08-11,1061463.231325588
2021-08-12,1061908.421466765
2021-08-13,1062372.8914959452
2021-08-16,1065663.9099542762
2021-08-17,1057224.9277033412
2021-08-18,1045780.5030321421
2021-08-19,1043789.1827208736
2021-08-20,1050548.2440637518
2021-08-23,1056998.4766551522
2021-08-24,1057912.3433465282
2021-08-25,1059086.0795586333
2021-08-26,1053331.4419568456
2021-08-27,1060590.7287575656
2021-08-30,1058916.7670876188
2021-08-31,1057746.8868531145
2021-09-01,1056305.101773855
2021-09-02,1060232.3565363085
2021-09-03,1057996.9411581322
2021-09-07,1049947.6463404845
2021-09-08,1047885.7499543417
2021-09-09,1043348.1991007158
2021-09-10,1035222.0184266653
2021-09-13,1043056.5469767326
2021-09-14,1034320.1870593157
2021-09-15,1041404.2021509111
2021-09-16,1039517.577473893
2021-09-17,1034538.8093044973
2021-09-20,1016159.9347334895
2021-09-21,1014645.470318846
2021-09-22,1024770.4495637546
